Brutus,33093,Brutus,Cow slippers
King Black Dragon,7980,King Black Dragon,Kbd heads
Tombs of Amascut,27277,TOA 1,Tumeken's shadow (uncharged)
Tombs of Amascut (XM),27277,TOA 1,Tumeken's shadow (uncharged)
Tombs of Amascut,27226,TOA 1,Masori mask
Tombs of Amascut (XM),27226,TOA 1,Masori mask
Tombs of Amascut,25975,TOA 1,Lightbearer
Tombs of Amascut (XM),25975,TOA 1,Lightbearer
Tombs of Amascut,26219,TOA 2,Osmumten's fang
Tombs of Amascut (XM),26219,TOA 2,Osmumten's fang
Tombs of Amascut,27229,TOA 2,Masori body
Tombs of Amascut (XM),27229,TOA 2,Masori body
Tombs of Amascut,5296,TOA 2B,Toadflax seed
Tombs of Amascut (XM),5296,TOA 2B,Toadflax seed
Tombs of Amascut,5295,TOA 2B,Ranarr seed
Tombs of Amascut (XM),5295,TOA 2B,Ranarr seed
Tombs of Amascut,5300,TOA 2B,Snapdragon seed
Tombs of Amascut (XM),5300,TOA 2B,Snapdragon seed
Barrows,4753,Barrows,Verac's helm
Barrows,4757,Barrows,Verac's brassard
Scurrius,10976,Scurrius,Long bone
Dagannoth Rex,1442,Dagganoth Kings,Fire talisman
Dagannoth Prime,1442,Dagganoth Kings,Fire talisman
Dagannoth Supreme,1442,Dagganoth Kings,Fire talisman
Lunar chest,29000,Moons of Peril,Eclipse atlatl
Lunar chest,29010,Moons of Peril,Eclipse moon helm
Lunar chest,29004,Moons of Peril,Eclipse moon chestplate
Lunar chest,29007,Moons of Peril,Eclipse moon tassets
Lunar chest,28997,Moons of Peril,Dual macuahuitl
Lunar chest,29028,Moons of Peril,Blood moon helm
Lunar chest,29022,Moons of Peril,Blood moon chestplate
Lunar chest,29025,Moons of Peril,Blood moon tassets
Lunar chest,28988,Moons of Peril,Blue moon spear
Lunar chest,29019,Moons of Peril,Blue moon helm
Lunar chest,29013,Moons of Peril,Blue moon chestplate
Lunar chest,29016,Moons of Peril,Blue moon tassets
Moons of Peril,29000,Moons of Peril,Eclipse atlatl
Moons of Peril,29010,Moons of Peril,Eclipse moon helm
Moons of Peril,29004,Moons of Peril,Eclipse moon chestplate
Moons of Peril,29007,Moons of Peril,Eclipse moon tassets
Moons of Peril,28997,Moons of Peril,Dual macuahuitl
Moons of Peril,29028,Moons of Peril,Blood moon helm
Moons of Peril,29022,Moons of Peril,Blood moon chestplate
Moons of Peril,29025,Moons of Peril,Blood moon tassets
Moons of Peril,28988,Moons of Peril,Blue moon spear
Moons of Peril,29019,Moons of Peril,Blue moon helm
Moons of Peril,29013,Moons of Peril,Blue moon chestplate
Moons of Peril,29016,Moons of Peril,Blue moon tassets
The Hueycoatl,30070,Hueycoatl,Dragon hunter wand
Branda the Fire Queen,30631,Royal Titans,Fire element staff crown
Eldric the Ice King,30628,Royal Titans,Ice element staff crown
Theatre of Blood,22486,TOB 1,Scythe of vitur (uncharged)
Theatre of Blood (HM),22486,TOB 1,Scythe of vitur (uncharged)
Theatre of Blood,22477,TOB 1,Avernic defender hilt
Theatre of Blood (HM),22477,TOB 1,Avernic defender hilt
Theatre of Blood,22324,TOB 2,Ghrazi rapier
Theatre of Blood (HM),22324,TOB 2,Ghrazi rapier
Theatre of Blood,22481,TOB 2,Sanguinesti staff (uncharged)
Theatre of Blood (HM),22481,TOB 2,Sanguinesti staff (uncharged)
Theatre of Blood,22326,TOB 2,Justiciar faceguard
Theatre of Blood (HM),22326,TOB 2,Justiciar faceguard
Theatre of Blood,22327,TOB 2,Justiciar chestguard
Theatre of Blood (HM),22327,TOB 2,Justiciar chestguard
Theatre of Blood,22328,TOB 2,Justiciar legguards
Theatre of Blood (HM),22328,TOB 2,Justiciar legguards
Tormented Demon,29574,Tormented Demons,Burning claw
Demonic gorilla,19589,Demonic Gorillas,Heavy frame
Demonic gorilla,19610,Demonic Gorillas,Monkey tail
General Graardor,11812,General Graardor,Bandos hilt
Mad Angel,34027,Mad Angel,Hallowfell
Zulrah,12922,Zulrah,Tanzanite fang
Zulrah,12932,Zulrah,Magic fang
Vorkath,22111,Vorkath,Dragonbone necklace
Vorkath,5288,Vorkath,Papaya tree seed
Phantom Muspah,5300,Phantom Muspah,Snapdragon seed
Corporeal Beast,12833,Corporeal Beast,Holy elixir
Giant mole,2363,Giant Mole,Runite bar
Giant mole,12646,Giant Mole,Baby mole
Chambers of Xeric,21003,COX 1,Elder maul
Chambers of Xeric (CM),21003,COX 1,Elder maul
Chambers of Xeric,21018,COX 1,Ancestral hat
Chambers of Xeric (CM),21018,COX 1,Ancestral hat
Chambers of Xeric,21021,COX 1,Ancestral robe top
Chambers of Xeric (CM),21021,COX 1,Ancestral robe top
Chambers of Xeric,21024,COX 1,Ancestral robe bottom
Chambers of Xeric (CM),21024,COX 1,Ancestral robe bottom
Chambers of Xeric,21015,COX 1,Dinh's bulwark
Chambers of Xeric (CM),21015,COX 1,Dinh's bulwark
